SYMBOL	adj.P.Val	P.Value	logFC
Ms4a7	0.0383	0.00096516	-6.875878
Ccl2	0.0612	0.00388363	-6.864084
Spp1	0.0394	0.00106292	-5.941682
Osm	0.0593	0.00355815	-5.841411
Myo7a	0.0542	0.00266148	-5.508987
Cxcl1	0.1176	0.02067164	-5.231789
AA467197	0.0648	0.00476241	-4.982981
Rerg	0.0166	0.00000326	-4.908795
Reln	0.0515	0.00228012	-4.889723
Cxcl14	0.058	0.00331308	-4.69515
Fcrl3	0.0338	0.00061316	-4.676319
Ttyh2	0.0821	0.00912924	-4.580976
Ccl8	0.0363	0.00079989	-4.574333
Cyp4f18	0.0946	0.01252604	-4.571179
Clec4n	0.0251	0.00024034	-4.52088
Arl11	0.0353	0.00073047	-4.515093
Slc7a7	0.1508	0.03449838	-4.417258
Trem2	0.0166	0.00001272	-4.24055
Evi2a	0.0597	0.00364867	-4.160688
Anxa8	0.1366	0.02836192	-4.12101
Mup1	0.1206	0.021877	-4.09483
Lcp1	0.0662	0.00510676	-4.078272
Irs3	0.0595	0.00363361	-4.049575
Cyp2f2	0.0207	0.00009303	-4.01407
Snai1	0.0425	0.00129357	-3.994039
Tnni2	0.0642	0.00454649	-3.982884
Arhgap25	0.0689	0.00588575	-3.92613
Lpxn	0.0761	0.00750261	-3.894403
Clic5	0.0628	0.00437993	-3.875018
Igfbp2	0.0446	0.00147843	-3.855444
Chi3l1	0.116	0.02010429	-3.81567
Cebpa	0.0538	0.00253958	-3.794328
Ms4a6d	0.0353	0.00073157	-3.773587
LOC100034251	0.049	0.00200611	-3.758347
Tie1	0.0404	0.00114529	-3.749578
Cyp2e1	0.0251	0.00025293	-3.737039
Lmyc1	0.0651	0.00482733	-3.730576
Upp1	0.0998	0.01431459	-3.694628
9130017C17Rik	0.124	0.02327899	-3.677087
Car3	0.0233	0.00017165	-3.650073
1810046I24Rik	0.0309	0.00048435	-3.647453
Napsa	0.0247	0.00020885	-3.627974
Tnfaip2	0.0337	0.00060454	-3.569724
Fcgr3	0.046	0.0016104	-3.55348
Ptk2b	0.046	0.0015809	-3.471185
Thg1l	0.0817	0.00898993	-3.3871
Ptpre	0.0542	0.00267167	-3.355642
Cysltr1	0.0178	0.00004401	-3.352366
LOC547343	0.0538	0.00255028	-3.338504
Fcgr2b	0.0235	0.00018565	-3.30475
Nt5dc3	0.1024	0.01508564	-3.297939
Lyzs	0.0285	0.00039222	-3.2915
Ms4a6d	0.0314	0.00050916	-3.237404
Lgals3	0.0166	0.00000248	-3.233335
Meox1	0.1197	0.02146678	-3.227175
Plek	0.0915	0.01161481	-3.211378
Olfr898	0.0871	0.01035777	-3.199225
Fyb	0.1024	0.01503636	-3.187413
Igfbp2	0.0651	0.00482986	-3.183911
Rasgrp3	0.1383	0.02906484	-3.173882
2010005A06Rik	0.0583	0.00337986	-3.149875
Syngr1	0.0499	0.00209037	-3.145083
Fcgr2b	0.0207	0.00011924	-3.141914
Osp94	0.1024	0.01504202	-3.141565
Hcn2	0.1475	0.03281031	-3.13621
Hk3	0.0481	0.00186152	-3.129441
AI427515	0.0542	0.00261417	-3.120658
Wbscr5	0.0178	0.00004009	-3.120287
Pscd4	0.0385	0.00099417	-3.109152
Has1	0.1517	0.0347837	-3.106797
Aldh3b1	0.0617	0.00403817	-3.100203
1600023A02Rik	0.0822	0.00916582	-3.099109
Centd2	0.0956	0.01295394	-3.086667
Mup2	0.1046	0.01597562	-3.084969
BC038822	0.111	0.01819996	-3.084302
Myo1f	0.0357	0.00076325	-3.079347
Pcbd	0.1301	0.02587355	-3.071862
Igfbp3	0.0601	0.00369434	-3.070455
Csf2ra	0.1123	0.01867853	-3.055222
Trf	0.0178	0.0000558	-3.054398
Ly9	0.0303	0.00046217	-3.052661
Dgki	0.0253	0.00028592	-3.048861
Mfsd9	0.0799	0.00839549	-3.042052
Cxadr	0.1762	0.04650646	-3.016941
Gpnmb	0.0166	0.0000163	-3.004647
Tnfaip2	0.0263	0.00031318	-2.967173
Clm3	0.0903	0.01125021	-2.944705
Cnbp2	0.1806	0.04856769	-2.937897
H2-M2	0.1299	0.02576645	-2.91153
Mad	0.057	0.00318537	-2.901141
Hp	0.1504	0.03428131	-2.867173
Dpep2	0.0178	0.00006474	-2.854955
Hvcn1	0.0459	0.00156838	-2.852098
Rasl2-9	0.1458	0.03202058	-2.837947
Esm1	0.1386	0.02923615	-2.831094
Fthfd	0.057	0.00307883	-2.830658
Hp	0.148	0.0332229	-2.82149
F10	0.1714	0.04390966	-2.812949
Ptn	0.1557	0.03653375	-2.794067
Slc7a8	0.0714	0.00642613	-2.792917
Gng2	0.046	0.00158802	-2.788402
Ddhd1	0.1253	0.02378746	-2.783116
Etv4	0.0768	0.00769793	-2.768602
Rab7	0.1537	0.0356257	-2.76354
Slc7a10	0.0501	0.0021285	-2.758679
Nms	0.0847	0.00968081	-2.747357
Gale	0.1525	0.03506727	-2.737986
C1qg	0.021	0.00013554	-2.737362
Fcer1g	0.0166	0.00001019	-2.730895
Fscn1	0.0662	0.00512978	-2.722049
Unc13d	0.1639	0.04034585	-2.714536
Uros	0.1209	0.02196579	-2.710807
Cd84	0.0166	0.00000748	-2.666537
C1s	0.0819	0.00906598	-2.665396
Acot2	0.021	0.00013597	-2.664706
Rgs16	0.1028	0.01533454	-2.660593
A930010I20Rik	0.1129	0.01906603	-2.657163
Emr1	0.0251	0.00023838	-2.652931
Pcsk4	0.025	0.00022376	-2.651796
Mlana	0.0593	0.00357087	-2.635476
Treml2	0.0207	0.00010937	-2.618628
Msr2	0.0166	0.00003028	-2.613688
Jak3	0.0689	0.00587682	-2.608257
A130072J07	0.0832	0.00938488	-2.604221
Emr1	0.0166	0.00003136	-2.604163
Serpina3c	0.1557	0.03649391	-2.589092
Ccl6	0.148	0.03318749	-2.570943
Scn2b	0.0659	0.00506969	-2.568516
Slc40a1	0.0446	0.00146428	-2.565815
Srpx2	0.1082	0.01718406	-2.563412
Tnfaip2	0.0253	0.00027092	-2.56029
Apoe	0.017	0.00003493	-2.555973
Apoc3	0.1545	0.03597593	-2.552247
Arhgap9	0.0653	0.00484538	-2.548194
Gtf2a1	0.1776	0.04712682	-2.541408
Car5b	0.053	0.00248053	-2.540493
Orm1	0.0768	0.00770744	-2.534122
D230007K08Rik	0.0252	0.00026356	-2.533198
Ccnd1	0.0166	0.00001746	-2.530707
Hcr	0.1087	0.01730434	-2.513488
Admr	0.0334	0.00057687	-2.510394
Serpina3n	0.1432	0.0310172	-2.507511
Gpr81	0.0598	0.00367202	-2.506933
C1qb	0.027	0.00034544	-2.505864
Tbx3	0.0791	0.00827183	-2.503564
Tmem53	0.0621	0.00422911	-2.497927
Car5b	0.0383	0.00095765	-2.495661
Ccnd1	0.0166	0.00001437	-2.485049
Lyz	0.0207	0.00010601	-2.478074
Nrn1	0.0394	0.00107596	-2.468626
Lyzs	0.0207	0.00012516	-2.467373
Slc11a1	0.0255	0.00029637	-2.461726
Isgf3g	0.1499	0.03403564	-2.45911
Cpxm2	0.0434	0.00135289	-2.452512
Hemp1	0.0166	0.00000744	-2.444983
Fthfd	0.0614	0.00397197	-2.433938
Slc11a1	0.021	0.00014114	-2.425966
