Perturbagen,Perturbation Type,Dose,Tissue,Cell Line,Disease,Timepoint,Data Level,Creation Time,z-score (up),z-score (down),log p-val (Fisher),log p-val (avg),p-value (up),z-score (sum),p-value (down),FDR (up),FDR (down),p-value Bonferroni (up),p-value Bonferroni (down)
E-7438,Chemical,0.125 uM,blood,THP1,leukemia,6 h,5,5/9/2021,-1.438956349,-4.169633329,12.29292322,2.588977965,0.150162977,-5.608589678,3.05E-05,0.444403912,0.006355521,1,1
BRD-A92664907,Chemical,50 uM,blood,HL60,leukemia,2 h,5,5/6/2021,-2.406733251,-3.016260717,10.09722343,4.674778596,0.016095911,-5.422993969,0.00255927,0.147695314,0.062840115,1,1
BRD-K19048219,Chemical,0.37 uM,blood,HL60,leukemia,2 h,5,5/6/2021,-2.163969911,-3.02123421,9.475573588,4.104875211,0.03046655,-5.185204121,0.002517604,0.203702763,0.062315861,1,1
etofylline-clofibrate,Chemical,0.125 uM,blood,JURKAT,leukemia,24 h,5,5/22/2021,-2.690157264,-2.485269737,9.288790428,4.600815452,0.007141931,-5.175427001,0.012945353,0.097407298,0.141324499,1,1
TG-101348,Chemical,3.33 uM,bone marrow,HAP1,chronic myeloid leukemia,24 h,5,5/18/2021,-2.955428464,-2.64954704,10.58995949,5.18654818,0.003122488,-5.604975504,0.008060059,0.063734565,0.111785176,1,1
AS-601245,Chemical,0.66 uM,bone marrow,HAP1,chronic myeloid leukemia,24 h,5,5/18/2021,-0.982266591,-4.106758819,11.24391808,1.813978474,0.325968526,-5.08902541,4.01E-05,0.635551178,0.007352138,1,1
BRD-K58479490,Chemical,0.37 uM,breast,MCF7,breast adenocarcinoma,24 h,5,5/5/2021,-2.928423103,-2.941050207,11.40453726,5.702061695,0.003406997,-5.86947331,0.003271152,0.066605256,0.0711972,1,1
abacavir,Chemical,3.33 uM,breast,MCF10A,breast carcinoma,24 h,5,5/21/2021,-3.854338643,-1.947893574,12.02876214,3.65847353,0.000116086,-5.802232217,0.051427559,0.011123954,0.276658447,1,1
edoxudine,Chemical,0.01 uM,breast,MDAMB231,breast adenocarcinoma,24 h,5,5/22/2021,-3.083902349,-2.642466871,10.99315072,5.271313609,0.002043183,-5.726369219,0.008230533,0.051088391,0.112928032,1,1
BRD-K45675241,Chemical,10 uM,breast,MCF7,breast adenocarcinoma,24 h,5,5/9/2021,-0.633862836,-4.967064545,14.84215608,1.335276405,0.526170214,-5.600927381,6.81E-07,0.781281528,0.000903582,1,0.488838011
GDC-0199,Chemical,0.03 uM,breast,MCF10A,breast carcinoma,24 h,5,5/22/2021,-3.105555479,-2.412035594,10.40996088,4.723780337,0.001899356,-5.517591073,0.015863724,0.049202253,0.155904773,1,1
BRD-K02526659,Chemical,0.125 uM,breast,MCF7,breast adenocarcinoma,24 h,5,5/20/2021,-2.496907144,-2.93342708,10.07780392,4.83579392,0.012528204,-5.430334224,0.00335256,0.13021552,0.072073366,1,1
tanespimycin,Chemical,0.01 uM,breast,MCF7,breast adenocarcinoma,6 h,5,5/6/2021,0.022324703,-5.442000565,16.77454783,0.711118799,0.982188855,-5.419675862,5.28E-08,0.99374055,0.000247844,1,0.037920072
mitoxantrone,Chemical,10 uM,breast,MCF7,breast adenocarcinoma,48 h,5,5/7/2021,-3.857269142,-1.554488093,11.19285665,2.811888866,0.000114703,-5.411757235,0.120068058,0.011054008,0.412719579,1,1
edrophonium,Chemical,10 uM,breast,MCF7,breast adenocarcinoma,6 h,5,5/8/2021,-3.663734112,-1.690770493,10.6977521,3.088623982,0.00024863,-5.354504605,0.090880588,0.016848837,0.362760007,1,1
BX-912,Chemical,0.04 uM,breast,HS578T,breast carcinoma,3 h,5,5/17/2021,-2.570698734,-2.738049156,9.676680531,4.807898175,0.010149414,-5.30874789,0.006180592,0.116762333,0.097731882,1,1
IAA-94,Chemical,10 uM,breast,T47D,breast carcinoma,24 h,5,5/18/2021,-2.992914429,-2.304790575,9.746070294,4.425282432,0.00276341,-5.297705004,0.021178249,0.059776493,0.179657957,1,1
BRD-K95091188,Chemical,10 uM,breast,MCF7,breast adenocarcinoma,24 h,5,5/19/2021,-4.367399803,-0.927393588,12.32238572,1.732355106,1.26E-05,-5.294793391,0.353722172,0.003444713,0.669262929,1,1
bupropion,Chemical,2.22 uM,breast,MCF10A,breast carcinoma,24 h,5,5/21/2021,-0.699575203,-4.575179346,12.97992397,1.418410099,0.484192485,-5.274754549,4.76E-06,0.754415337,0.002441137,1,1
BRD-K35088115,Chemical,4 uM,breast,MCF7,breast adenocarcinoma,24 h,5,5/11/2021,-5.212055051,0.003127437,15.49401223,0.695645457,1.87E-07,-5.208927614,0.997504654,0.000381712,0.999227424,0.134362714,1
mitoxantrone,Chemical,3.33 uM,breast,HS578T,breast carcinoma,3 h,5,5/17/2021,-3.707610192,-1.424047919,10.33981414,2.559789826,0.000209284,-5.131658111,0.154432695,0.015361095,0.46343491,1,1
bumetanide,Chemical,0.74 uM,breast,MDAMB231,breast adenocarcinoma,24 h,5,5/22/2021,-0.802081612,-4.319250772,11.92547591,1.554662624,0.422505622,-5.121332383,1.57E-05,0.71201788,0.004556546,1,1
GDC-0941,Chemical,3.33 uM,breast,MCF7,breast adenocarcinoma,3 h,5,5/18/2021,-2.72737867,-2.389405114,9.135830838,4.454178399,0.006384079,-5.116783784,0.016875664,0.091973025,0.160752108,1,1
pimavanserin,Chemical,2.22 uM,breast,MDAMB231,breast adenocarcinoma,24 h,5,5/22/2021,-2.247041414,-2.854980542,9.15168661,4.235630181,0.024637301,-5.102021955,0.004304075,0.182778385,0.081696085,1,1
vorinostat,Chemical,2.5 uM,central nervous system,NPC,,5h,5/6/2021,-0.313705834,-5.323592335,16.38144305,0.975848742,0.753744599,-5.637298169,1.02E-07,0.902650392,0.00033893,1,0.073208781,1
ziprasidone,Chemical,1.67 uM,central nervous system,NPC,,24 h,5,5/6/2021,-1.255820521,-4.32596173,12.65889916,2.257629037,0.209181181,-5.58178225,1.52E-05,0.519160766,0.004481734,1,1
varenicline,Chemical,0.74 uM,central nervous system,NPC,,24 h,5,5/6/2021,-1.893387182,-3.377175606,10.06116236,3.522709042,0.058306266,-5.270562787,0.000732449,0.28118715,0.033655773,1,1
fluoxetine,Chemical,1.67 uM,central nervous system,NPC,,24 h,5,5/6/2021,-1.442456667,-3.803592919,10.75768454,2.59483536,0.149173673,-5.246049587,0.000142661,0.442901746,0.014343862,1,1
olanzapine,Chemical,6.66 uM,central nervous system,HIMG001,,24 h,5,5/6/2021,-1.518669989,-3.719933986,10.56967324,2.740741575,0.128845629,-5.238603975,0.000199333,0.412742289,0.01708225,1,1
riluzole,Chemical,2.5 uM,central nervous system,NPC,,24 h,5,5/6/2021,-2.677377033,-2.496563259,9.282352413,4.607144223,0.007420201,-5.173940292,0.012540358,0.099256933,0.13919289,1,1
citalopram,Chemical,3.33 uM,central nervous system,NPC,,24 h,5,5/6/2021,-1.408002955,-3.703536661,10.29377821,2.529843534,0.159130296,-5.111539616,0.000212675,0.456797757,0.01768624,1,1
cholic-acid,Chemical,10 uM,connective tissue,NPC,,6 h,5,5/7/2021,-5.498836927,-0.184801106,17.23571691,0.851691551,3.83E-08,-5.683638033,0.85338506,0.000178696,0.948485214,0.027519208,1
zonisamide,Chemical,10 uM,connective tissue,NPC,,24 h,5,5/6/2021,-3.307373238,-1.998996759,10.05530405,3.76036614,0.000941869,-5.306369998,0.045608565,0.033890248,0.261162034,1,1
BIBR-1532,Chemical,10 uM,endometrium,HEC265,endometrial cancer,24 h,5,5/18/2021,-3.431268219,-1.957753687,10.40771044,3.671832637,0.000600865,-5.389021906,0.050258782,0.026903662,0.273671929,1,1
levosulpiride,Chemical,0.12 uM,epithelium,XC.P914,,24 h,5,5/7/2021,-3.307576745,-2.310828265,10.83914202,4.519750836,0.000941185,-5.618405011,0.020842289,0.033875649,0.178284098,1,1
mitoxantrone,Chemical,10 uM,epithelium,XC.P914,,24 h,5,5/7/2021,-3.45621816,-1.943072109,10.46577652,3.639038146,0.000547907,-5.39929027,0.052007307,0.025657178,0.278224351,1,1
AZD-5363,Chemical,1.11 uM,epithelium,XC.P914,,24 h,5,5/7/2021,-3.970276504,-1.33402552,11.24400398,2.39542741,7.18E-05,-5.304302025,0.182195617,0.008657317,0.499640903,1,1
marbofloxacin,Chemical,0.12 uM,epithelium,XC.P914,,24 h,5,5/7/2021,-3.704923902,-1.385541354,10.25766527,2.488320749,0.000211514,-5.090465255,0.165887106,0.015445843,0.478764247,1,1
CI-966,Chemical,10 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/22/2021,-4.102779825,-1.617623222,12.35249136,2.939497036,4.08E-05,-5.720403047,0.105743806,0.006361583,0.38919234,1,1
resatorvid,Chemical,2.22 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/22/2021,-3.337166644,-2.245760206,10.77459089,4.359647915,0.000846484,-5.58292685,0.024719291,0.032112314,0.193754074,1,1
guanethidine,Chemical,0.01 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/22/2021,-1.454056559,-4.065906677,11.87162884,2.617442586,0.145930706,-5.519963235,4.79E-05,0.438124651,0.008141603,1,1
TPCA-1,Chemical,0.37 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/6/2021,-3.041939233,-2.466961201,10.34876553,4.829736069,0.002350732,-5.508900434,0.013626527,0.055000149,0.144974161,1,1
xaliproden,Chemical,3.33 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/20/2021,-3.078204156,-2.304747138,10.02877552,4.454023631,0.002082659,-5.382951295,0.021180683,0.051621115,0.179667992,1,1
trifluridine,Chemical,0.04 uM,intestine,HT29,colon adenocarcinoma,24 h,5,5/22/2021,-1.666721234,-3.616077024,10.4623855,3.037920011,0.095569805,-5.282798258,0.000299173,0.357614196,0.021128823,1,1
