Comparison,Target,Name,MOA,Phase
Immune system related pathways,ACTB,cytochalasin-B,microtubule inhibitor,Phase 2
Immune system related pathways,ACVR1,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVR1,LDN-212854,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,ACVR1,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,ACVR1,LDN193189,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,ACVR1,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,ACVR1,DMH1,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVRL1,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,ACVRL1,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,AKT2,API-1,AKT inhibitor,Preclinical
Immune system related pathways,AKT2,GSK2110183,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,AT7867,AKT inhibitor,Preclinical
Immune system related pathways,AKT2,MK-2206,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,uprosertib,AKT inhibitor,Phase 2
Immune system related pathways,AKT2,AT13148,protein kinase inhibitor,Phase 1
Immune system related pathways,AKT2,ARQ-092,AKT inhibitor,Phase 1
Immune system related pathways,AKT2,PHT-427,"AKT inhibitor, pyruvate dehydrogenase inhibitor",Preclinical
Immune system related pathways,AKT2,AZD5363,AKT inhibitor,Phase 3
Immune system related pathways,AKT2,GSK690693,AKT inhibitor,Phase 1
Immune system related pathways,AKT2,GDC-0068,AKT inhibitor,Phase 3
Immune system related pathways,ARAF,adenosine-triphosphate,adenosine receptor agonist,Phase 2
Immune system related pathways,ATF2,ephedrine-(racemic),adrenergic receptor agonist,Launched
Immune system related pathways,B2M,3-indolebutyric-acid,,Preclinical
Immune system related pathways,BIRC2,GDC-0152,XIAP inhibitor,Phase 1
Immune system related pathways,BIRC2,birinapant,XIAP inhibitor,Phase 2
Immune system related pathways,BIRC2,SM-164,XIAP inhibitor,Preclinical
Immune system related pathways,BIRC2,LCL-161,XIAP inhibitor,Phase 2
Immune system related pathways,BIRC2,AZD5582,XIAP inhibitor,Preclinical
Immune system related pathways,BMPR1A,ML347,ALK tyrosine kinase receptor inhibitor,Preclinical
Immune system related pathways,BMPR1A,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,BMPR1A,LDN193189,bone morphogenic protein inhibitor,Preclinical
Immune system related pathways,BMPR1B,dorsomorphin,AMPK inhibitor,Preclinical
Immune system related pathways,BTK,GDC-0834,Bruton's tyrosine kinase (BTK) inhibitor,Phase 1
Immune system related pathways,BTK,terreic-acid-(-),Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,acalabrutinib,Bruton's tyrosine kinase (BTK) inhibitor,Launched
Immune system related pathways,BTK,AVL-292,Bruton's tyrosine kinase (BTK) inhibitor,Phase 2
Immune system related pathways,BTK,ONO-4059,Bruton's tyrosine kinase (BTK) inhibitor,Phase 1
Immune system related pathways,BTK,CNX-774,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,olmutinib,"Bruton's tyrosine kinase (BTK) inhibitor, EGFR inhibitor",Launched
Immune system related pathways,BTK,PCI-29732,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,BTK,ibrutinib,Bruton's tyrosine kinase (BTK) inhibitor,Launched
Immune system related pathways,BTK,LFM-A13,Bruton's tyrosine kinase (BTK) inhibitor,Preclinical
Immune system related pathways,CACNA1H,anandamide,cannabinoid receptor agonist,Phase 2
Immune system related pathways,CACNA1H,ethosuximide,succinimide antiepileptic,Launched
Immune system related pathways,CACNA1H,amiodarone,potassium channel blocker,Launched
Immune system related pathways,CACNA1H,flunarizine,calcium channel blocker,Launched
Immune system related pathways,CACNA1H,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CACNA1H,trimethadione,oxazolidine antiepileptic,Launched
Immune system related pathways,CACNA1H,ABT-639,calcium channel blocker,Phase 2
Immune system related pathways,CACNA1H,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA1H,ML218,T-type calcium channel blocker,Preclinical
Immune system related pathways,CACNA1H,methsuximide,T-type calcium channel blocker,Launched
Immune system related pathways,CACNA1H,zonisamide,"sodium channel blocker, T-type calcium channel blocker",Launched
Immune system related pathways,CACNA1H,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,amlodipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,Z160,N-type calcium channel blocker,Phase 2
Immune system related pathways,CACNA2D1,diltiazem,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA2D1,lercanidipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,isradipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,nitrendipine,calcium channel blocker,Launched
Immune system related pathways,CACNA2D1,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNA2D3,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNA2D3,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNB2,gabapentin,calcium channel blocker,Launched
Immune system related pathways,CACNB2,dronedarone,adrenergic receptor antagonist,Launched
Immune system related pathways,CACNB2,spironolactone,mineralocorticoid receptor antagonist,Launched
Immune system related pathways,CACNB2,verapamil,calcium channel blocker,Launched
Immune system related pathways,CACNB2,nifedipine,calcium channel blocker,Launched
Immune system related pathways,CASP8,aloe-emodin,anticancer agent,Preclinical
Immune system related pathways,CCL8,pidolic-acid,,Launched
Immune system related pathways,CCL8,bindarit,NFkB pathway inhibitor,Phase 2
